GO,Hallmark_Cancer
GO:0009967,Sustaining Proliferative Signal
GO:0030307,Sustaining Proliferative Signal
GO:0008284,Sustaining Proliferative Signal
GO:0045787,Sustaining Proliferative Signal
GO:0007165,Sustaining Proliferative Signal
GO:0000075,Sustaining Proliferative Signal
GO:1901976,Sustaining Proliferative Signal
GO:1901987,Sustaining Proliferative Signal
GO:0045786,Sustaining Proliferative Signal
GO:0050673,Sustaining Proliferative Signal
GO:0050678,Sustaining Proliferative Signal
GO:0043616,Sustaining Proliferative Signal
GO:0010837,Sustaining Proliferative Signal
GO:0072089,Sustaining Proliferative Signal
GO:0008283,Sustaining Proliferative Signal
GO:0042127,Sustaining Proliferative Signal
GO:0008285,Sustaining Proliferative Signal
GO:0007049,Sustaining Proliferative Signal
GO:0051726,Sustaining Proliferative Signal
GO:0051301,Sustaining Proliferative Signal
GO:0051302,Sustaining Proliferative Signal
GO:0051781,Sustaining Proliferative Signal
GO:0051782,Sustaining Proliferative Signal
GO:0016049,Sustaining Proliferative Signal
GO:0008283,Sustaining Proliferative Signal
GO:0009968,Evading Growth Suppressor
GO:0030308,Evading Growth Suppressor
GO:0008285,Evading Growth Suppressor
GO:0045786,Evading Growth Suppressor
GO:0007165,Evading Growth Suppressor
GO:0051782,Evading Growth Suppressor
GO:0043069,Resist Cell Death
GO:0043066,Resist Cell Death
GO:0045768,Resist Cell Death
GO:0070265,Resist Cell Death
GO:0010939,Resist Cell Death
GO:0097300,Resist Cell Death
GO:2001233,Resist Cell Death
GO:0012501,Resist Cell Death
GO:0043067,Resist Cell Death
GO:0043068,Resist Cell Death
GO:0006915,Resist Cell Death
GO:0001302,Enabling Replicative Immortality
GO:0032206,Enabling Replicative Immortality
GO:0090398,Enabling Replicative Immortality
GO:0000723,Enabling Replicative Immortality
GO:0007004,Enabling Replicative Immortality
GO:0032204,Enabling Replicative Immortality
GO:0051972,Enabling Replicative Immortality
GO:2000772,Enabling Replicative Immortality
GO:0007569,Enabling Replicative Immortality
GO:0090342,Enabling Replicative Immortality
GO:0032200,Enabling Replicative Immortality
GO:1900062,Enabling Replicative Immortality
GO:0045766,Inducing Angiogenesis
GO:0045765,Inducing Angiogenesis
GO:0030949,Inducing Angiogenesis
GO:0001570,Inducing Angiogenesis
GO:0001525,Inducing Angiogenesis
GO:0045446,Inducing Angiogenesis
GO:0045601,Inducing Angiogenesis
GO:0045603,Inducing Angiogenesis
GO:0045602,Inducing Angiogenesis
GO:0043542,Inducing Angiogenesis
GO:0010594,Inducing Angiogenesis
GO:0010595,Inducing Angiogenesis
GO:0010596,Inducing Angiogenesis
GO:0001944,Inducing Angiogenesis
GO:1901342,Inducing Angiogenesis
GO:1904018,Inducing Angiogenesis
GO:1901343,Inducing Angiogenesis
GO:0001935,Inducing Angiogenesis
GO:0001936,Inducing Angiogenesis
GO:0001938,Inducing Angiogenesis
GO:0001937,Inducing Angiogenesis
GO:2001212,Inducing Angiogenesis
GO:0008015,Inducing Angiogenesis
GO:0042060,Activating Invasion and Metastasis
GO:0007162,Activating Invasion and Metastasis
GO:0033631,Activating Invasion and Metastasis
GO:0044331,Activating Invasion and Metastasis
GO:0001837,Activating Invasion and Metastasis
GO:0016477,Activating Invasion and Metastasis
GO:0048870,Activating Invasion and Metastasis
GO:0007155,Activating Invasion and Metastasis
GO:0090130,Activating Invasion and Metastasis
GO:0090132,Activating Invasion and Metastasis
GO:0010631,Activating Invasion and Metastasis
GO:0010632,Activating Invasion and Metastasis
GO:0051546,Activating Invasion and Metastasis
GO:0001667,Activating Invasion and Metastasis
GO:0034330,Activating Invasion and Metastasis
GO:0030030,Activating Invasion and Metastasis
GO:0031344,Activating Invasion and Metastasis
GO:0031346,Activating Invasion and Metastasis
GO:0031345,Activating Invasion and Metastasis
GO:0010717,Activating Invasion and Metastasis
GO:0010718,Activating Invasion and Metastasis
GO:0010719,Activating Invasion and Metastasis
GO:0030155,Activating Invasion and Metastasis
GO:0045785,Activating Invasion and Metastasis
GO:0030334,Activating Invasion and Metastasis
GO:0030335,Activating Invasion and Metastasis
GO:0030336,Activating Invasion and Metastasis
GO:0030036,Activating Invasion and Metastasis
GO:0042330,Activating Invasion and Metastasis
GO:0007163,Activating Invasion and Metastasis
GO:0051276,Genome Instability and Mutation
GO:0045005,Genome Instability and Mutation
GO:0006281,Genome Instability and Mutation
GO:0006282,Genome Instability and Mutation
GO:0006298,Genome Instability and Mutation
GO:0006302,Genome Instability and Mutation
GO:0006289,Genome Instability and Mutation
GO:0036297,Genome Instability and Mutation
GO:0031570,Genome Instability and Mutation
GO:0045739,Genome Instability and Mutation
GO:0045738,Genome Instability and Mutation
GO:0002419,Tumor promoting Inflammation
GO:0002420,Tumor promoting Inflammation
GO:0002857,Tumor promoting Inflammation
GO:0002842,Tumor promoting Inflammation
GO:0002367,Tumor promoting Inflammation
GO:0050776,Tumor promoting Inflammation
GO:0002526,Tumor promoting Inflammation
GO:0002544,Tumor promoting Inflammation
GO:0050727,Tumor promoting Inflammation
GO:0050900,Tumor promoting Inflammation
GO:0002685,Tumor promoting Inflammation
GO:0006954,Tumor promoting Inflammation
GO:0002718,Tumor promoting Inflammation
GO:0042060,Tumor promoting Inflammation
GO:0061041,Tumor promoting Inflammation
GO:0042533,Tumor promoting Inflammation
GO:0006096,Deregulating Cellular Energetic
GO:0071456,Deregulating Cellular Energetic
GO:0006110,Deregulating Cellular Energetic
GO:0006006,Deregulating Cellular Energetic
GO:0046323,Deregulating Cellular Energetic
GO:0006091,Deregulating Cellular Energetic
GO:0002837,Avoiding Immune Destruction
GO:0002418,Avoiding Immune Destruction
GO:0002367,Avoiding Immune Destruction
GO:0050776,Avoiding Immune Destruction
GO:0006955,Avoiding Immune Destruction
GO:0050778,Avoiding Immune Destruction
GO:0050777,Avoiding Immune Destruction
GO:0020012,Avoiding Immune Destruction
GO:0006897,Avoiding Immune Destruction
